name,I_F_hits,P/GP,shotsBlockedByPlayer,I_F_penaltyMinutes,CAP HIT,VORP
Chris Wagner,6.0,0.0,1.0,0.0,"$775,000",1.1905
Andrew Agozzino,12.0,0.75,4.0,0.0,"$775,000",0.8155
Kyle Criscuolo,2.0,1.0,1.0,0.0,"$775,000",0.6905
William Lockwood,37.0,0.08,13.0,0.0,"$775,000",0.58373
Curtis Lazar,138.0,0.1,53.0,21.0,"$1,000,000",0.5603
Tyler Motte,118.0,0.31,60.0,6.0,"$800,000",0.4335
Patrick Brown,167.0,0.2,42.0,34.0,"$800,000",0.3587
Kiefer Sherwood,103.0,0.41,15.0,30.0,"$775,000",0.351
Josh Archibald,195.0,0.19,28.0,33.0,"$800,000",0.3225
Liam O'Brien,203.0,0.2,28.0,84.0,"$775,000",0.3005
Glenn Gawdin,4.0,0.0,3.0,0.0,"$762,500",0.25717
Dakota Joshua,222.0,0.29,30.0,50.0,"$825,000",0.23446
Andy Andreoff,7.0,0.33,1.0,0.0,"$762,500",0.22284
Nick Bonino,19.0,0.31,79.0,28.0,"$800,000",0.21415
Luke Glendening,114.0,0.09,60.0,30.0,"$800,000",0.2075
Michael McCarron,75.0,0.13,20.0,24.0,"$775,000",0.19825
Cole Smith,198.0,0.25,25.0,60.0,"$775,000",0.19014
Zack MacEwen,150.0,0.18,29.0,66.0,"$775,000",0.16236
Jaret Anderson-Dolan,61.0,0.26,29.0,2.0,"$775,000",0.14242
Brad Malone,26.0,0.0,4.0,6.0,"$762,500",0.1205
Lane Pederson,68.0,0.22,11.0,26.0,"$775,000",0.11947
Trevor Lewis,158.0,0.24,33.0,18.0,"$775,000",0.11616
Tyler Pitlick,103.0,0.26,29.0,14.0,"$787,500",0.10949
Alex Belzile,27.0,0.45,22.0,13.0,"$775,000",0.09163
Vinni Lettieri,3.0,0.0,0.0,0.0,"$775,000",0.0905
Kyle Clifford,6.0,0.5,0.0,2.0,"$762,500",0.0905
Brett Seney,11.0,0.14,4.0,2.0,"$775,000",0.08965
Sheldon Dries,84.0,0.27,40.0,29.0,"$762,500",0.08658
Brendan Lemieux,131.0,0.2,15.0,64.0,"$800,000",0.08606
Nathan Walker,82.0,0.18,35.0,25.0,"$775,000",0.0829
Rourke Chartier,10.0,0.0,3.0,0.0,"$775,000",0.07384
Bokondji Imama,13.0,0.0,2.0,5.0,"$775,000",0.0605
Dylan Gambrell,60.0,0.17,45.0,25.0,"$775,000",0.054
Phillip Di Giuseppe,52.0,0.4,10.0,14.0,"$775,000",0.05384
Justin Richards,4.0,0.5,0.0,0.0,"$775,000",0.0405
Jimmy Vesey,98.0,0.31,40.0,20.0,"$800,000",0.03535
Anthony Richard,25.0,0.38,3.0,6.0,"$775,000",0.03527
Ryan Carpenter,35.0,0.14,11.0,10.0,"$775,000",0.0325
Julien Gauthier,105.0,0.25,13.0,6.0,"$787,500",0.03217
Matt Luff,22.0,0.21,9.0,0.0,"$775,000",0.02192
Blake Wheeler,54.0,0.76,35.0,46.0,"$800,000",0.01572
Milan Lucic,168.0,0.25,15.0,43.0,"$1,000,000",0.0155
Byron Froese,11.0,0.22,5.0,4.0,"$762,500",0.01206
Dryden Hunt,100.0,0.08,4.0,24.0,"$775,000",0.0118
Michael Eyssimont,107.0,0.28,19.0,53.0,"$800,000",-0.0005
Mark Jankowski,45.0,0.24,31.0,18.0,"$775,000",-0.0015
Devin Shore,46.0,0.19,24.0,4.0,"$775,000",-0.0142
Hudson Fasching,45.0,0.39,22.0,10.0,"$775,000",-0.01495
Zac Dalpe,15.0,0.29,6.0,2.0,"$775,000",-0.01535
Andrew Cogliano,55.0,0.24,54.0,34.0,"$825,000",-0.02104
Michael Carcone,16.0,0.33,1.0,2.0,"$775,000",-0.03272
Jeffrey Viel,6.0,0.0,2.0,2.0,"$775,000",-0.0345
John Leonard,4.0,0.17,4.0,2.0,"$775,000",-0.04183
Oskar Sundqvist,63.0,0.42,28.0,28.0,"$775,000",-0.04917
Joona Koppanen,8.0,0.2,2.0,4.0,"$775,000",-0.0495
Ryan Lomberg,149.0,0.24,24.0,68.0,"$800,000",-0.05213
Sam Carrick,98.0,0.13,24.0,66.0,"$850,000",-0.05319
Stefan Noesen,99.0,0.46,18.0,32.0,"$762,500",-0.06381
Justin Kirkland,8.0,0.0,3.0,0.0,"$775,000",-0.06664
Dominic Toninato,6.0,0.2,2.0,2.0,"$775,000",-0.0695
Tomas Nosek,69.0,0.27,31.0,38.0,"$1,000,000",-0.07092
Chris Tierney,15.0,0.28,21.0,6.0,"$775,000",-0.0755
Connor Brown,6.0,0.0,1.0,0.0,"$775,000",-0.0845
Drake Caggiula,6.0,0.0,1.0,0.0,"$775,000",-0.0845
Derek Ryan,54.0,0.25,42.0,28.0,"$900,000",-0.0895
Joe Snively,4.0,0.33,6.0,0.0,"$800,000",-0.09383
Jayson Megna,47.0,0.15,23.0,6.0,"$775,000",-0.10086
Fredrik Olofsson,32.0,0.14,8.0,2.0,"$775,000",-0.10678
Jonathan Drouin,29.0,0.5,23.0,18.0,"$825,000",-0.10777
Riley Tufte,6.0,0.0,0.0,0.0,"$775,000",-0.1095
Lias Andersson,2.0,0.0,0.0,0.0,"$775,000",-0.1095
Matthew Highmore,4.0,0.0,0.0,0.0,"$775,000",-0.1095
Denis Gurianov,43.0,0.26,27.0,10.0,"$850,000",-0.11938
Karson Kuhlman,41.0,0.15,18.0,8.0,"$775,000",-0.12407
Jesper Boqvist,50.0,0.3,20.0,2.0,"$775,000",-0.13807
Kevin Stenlund,31.0,0.17,28.0,20.0,"$1,000,000",-0.13998
Justin Danforth,7.0,0.5,1.0,4.0,"$975,000",-0.14283
Matt Nieto,43.0,0.3,32.0,16.0,"$900,000",-0.14542
Jacob Lucchini,16.0,0.09,1.0,0.0,"$775,000",-0.14613
Mikhail Maltsev,4.0,0.0,2.0,0.0,"$775,000",-0.1495
Brendan Gaunce,4.0,0.2,2.0,2.0,"$762,500",-0.1495
Craig Smith,48.0,0.25,21.0,18.0,"$1,000,000",-0.16262
Sam Steel,46.0,0.43,15.0,18.0,"$850,000",-0.16511
